sid,context_text,value
AA3647,我認為天父沒有辦法改變因為,1
AA3647,因為我覺得這個是女生俱來的一個能力,1
AA3647,所以就來說他可能就是我會一直持續具備這些能力,1
AA3647,但是後後天來改善的話可能會有一些困難,1
AD0995,我認為天父可以改變,2
AD0995,就像在後天學習時不同的狀況跟不同的歷程,2
AD0995,都會造成一個人的興趣跟經驗會有所不同那,2
AD0995,那這些也會改變他去選擇要從事什麼,2
AD0995,從事什麼樣的工作或是從事什麼樣的興,2
AD0995,去喜歡做什麼不喜歡做什麼,2
AD0995,在這土大在這學期的過程中,2
AD0995,除了要靠卻除了解魔手很著自己的魔手跟自己的熱情跟動力很重要之外,2
AD0995,我認為老師或者是家人朋友,2
AD0995,所給予的影響也是不可或缺的,2
AD0995,那這些那些因素只要有所變,2
AD0995,電動的話就很容易會造成一個人的成長歷,2
AD0995,你才會跟著有所不同那他可,2
AD0995,可能事後選擇的導入也就會有所不同,2
AD0995,說我認為天父是可以改變的,2
AD7423,與天俱來,1
AG4726,我認為天賦如果就是天生與生俱來的東西,1
AG4726,他當然不容易給被改變,1
AG4726,但是好像是可以透過後天的學習去增強其他,1
AG4726,原本已經香蕉有比別人更有基礎的天賦,1
AG4726,那可以增強這個天賦,1
AJ4867,我認為天父可以改變因為,2
AJ4867,因為我覺得可以靠後天的學習跟不斷的練習去改變自己,2
AJ4867,這是為什麼我覺得人有無限的可能性,2
BB9787,我覺得天賦是沒有辦法改變的,1
BB9787,因為是像是天份這樣子,1
BB9787,上天賦予你的能力,1
BB9787,有些人就是語言能力比較好,1
BB9787,有限制數理邏輯能力比較好,1
BB9787,南市東西,1
BB9787,如果上天給了你天賦那,1
BB9787,那就代表你的這些能力,1
BB9787,相對的比長人,1
BB9787,還要更好一點,1
BB9787,那當然這些天賦是可以,1
BB9787,繼續加強讓他變得越來越好,1
BB9787,但是如果說你本身沒有天賦的話,1
BB9787,可能就會,1
BB9787,你想要達到更有天賦的人一樣的能力的話就,1
BB9787,就需要花更加倍的力氣加,1
BB9787,加倍的行李才有辦法達成,1
BB9787,可是呢就算他的加倍的行李也,1
BB9787,也不一定可以達到像有天賦的人那,1
BB9787,那樣的高度,1
BB9787,會相對吃力,1
BB9787,有些相對的投資報酬率比較低,1
BQ9619,我認為天父是可以改變的,3
BQ9619,只要你可以善加學習,3
BQ9619,利用各種學習的資源,3
BQ9619,相信你可以去就是閱讀書籍,3
BQ9619,衛視利用網路上的各種資源,3
BQ9619,或是現在的AI的程式,3
BQ9619,27號的,3
BQ9619,可以解除其他人的像是,3
BQ9619,取消老師,3
BQ9619,或是職場上的長輩,3
BQ9619,鬼市同菜等等,3
BQ9619,我可以讓你增進自己的知識,3
BQ9619,或是你的才能,3
BV5253,可以改變只要靠後天的努力,2
CA5403,因為我認為天生的能力是很難,3
CA5403,這個你有一定的天賦的話你很難去改變,3
CN1899,你可以改變,1
CN1899,越南的潛能是可以開花的,1
CP3552,不能改變,3
CP3552,因為那個是上天給你的,3
CV2259,我覺得天不能改變了我一直接去努力是可以看的提升而且能力累積越多越有自信資訊大悲咒天賦是可以改變的,1
CZ8543,很難改變,2
DG8891,我認為天賦是無法改變的,2
DG8891,因為,2
DG8891,如果他是一個可以改變的東西,2
DG8891,就天府有天這個字嗎,2
DG8891,那天就代表說他是一個,2
DG8891,天生為與生俱來的食物,2
DG8891,所以就算說他是改變的話,2
DG8891,那應該是後天的學習,2
DG8891,跟,2
DG8891,你的努力造成這個錢人還,2
DG8891,還有發展的機會,2
DG8891,那天福華基本上就是一個,2
DG8891,維持在一定限度的事物,2
DG8891,所以我覺得天賦是不能改變的,2
EG9983,我認為在與山俱來的一些天賦,1
EG9983,是每個人具備不一樣的天生的特質但是,1
EG9983,但是我是覺得可以透過後天的訓練,1
EG9983,可以來改變自己的天賦特質,1
FC1872,我昨天不可能沒有辦法改變,3
FC1872,魚有些東西是與生俱來,3
FC1872,NBA球員的話他,3
FC1872,他就買靠他的身體天賦去打球他,3
FC1872,他的天花板會依據他的天賦有上限,3
FC1872,川普律師可以到達一定成就,3
FC1872,還是蠻仰望先天賦的,3
FU8225,Camry雨生俱來的,2
FY4166,天賦不可以完全改變但是可以透過後天的學習來強化跟加強,1
GH6341,遷戶不是不能改變是可以但是要經過長時間的培養與訓練,1
GQ1734,我認為天賦就是與生俱來比別人還要厲害的地,3
GQ1734,例如說身高或是有些人學習能力比較強那,3
GQ1734,他在這些領域上面可以靠努力去彌補,3
GU1919,天賦能不能改變為,1
GU1919,為什麼,1
GU1919,這麼認為,1
GU1919,天賦能改變的程度不多,1
GU1919,因為這是雨天俱來的,1
GU1919,所以我是這麼認為,1
GU6025,你認為天父能不能改變,2
GU6025,1分鐘思考兩分鐘回答給我,2
GU6025,我覺得很好尷尬喔,2
GU6025,我覺得天賦是天生就擁有的,2
GU6025,可以透過後天的努力去加強你的天賦,2
GX9223,我認為天賦是可以改變的因,0
GX9223,我們其實很難發覺自己真正的天賦,0
GX9223,我們很多時候我看那天不其實我們以為,0
GX9223,我們只用,0
GX9223,我們可以進一步的去拓展幾天付,0
GX9223,跟加強自己的天賦,0
GX9223,以前一開始都被認為,0
GX9223,他,0
GX9223,嶄露頭角,0
GX9223,因為沒有繼續挖掘跟加強,0
GX9223,合併的就是,0
GX9223,沒有把他聽不對現出來,0
GX9223,平均要認為聽故事,0
GX9223,所謂的天賦這,0
HX5970,天父可以改變可以考後天的學習去阿去做提神但是沒有辦法像就是那些IQ很多,2
HX5970,智商很高的人就是可能學任何事情都可以盡快到可以向他們要快速的達成但是但是只要持續學習,2
HX5970,天父也可以啊這也可以幫助學這也可以啊讓他們讓沒有天在後天努力學習的人也可以跟樂上那些擁有天賦但是不去努力的人,2
IE6957,天賦應該不能改變了,2
IE6957,應該是,2
IE6957,被,2
IE6957,發現吧找到自己的天賦,2
IE6957,那天賦的,2
IE6957,人透過,2
IE6957,不知道,2
IE6957,各種方式找尋吧,2
IE6957,找到了就,2
IE6957,應該不會改變,2
IM2797,我認為天父不能改變,3
IM2797,這就是天賦這個詞的定義,3
IM2797,如果能靠後天學習而成長的,3
IM2797,那應該稱之為技能或是一些才,3
IM2797,花不是稱為天賦,3
IM2797,那天父子的應該是學習能力,3
IM2797,不是而不是只學習到的東西,3
IM2797,學習能力應該是與生俱來的,3
IM2797,那當然學習方法可以改變的學習你的學習速度,3
IM2797,但是基礎是不會改變的,3
IM2797,那算算學習能力你不會改變,3
IM2797,但是但是靠後天獲得的學習方法,3
IM2797,可以幫助你快速學習到快更快速的學習新的事物然後,3
IM2797,如何幫你獲得新的技能,3
IM2797,濟南才是可以提高可以改變的部分,3
IN8306,不是可以藉著學習而改變了,1
IN8306,而這個學習也隨著你的週遭的環境,1
IN8306,你週遭的人跟週遭的事情,1
IN8306,會讓你有所增長或是改變,1
IU6507,在天賦的基礎上應該是不太能改變的,1
IU6507,當然是可以後天的表現呢是可以透過努力,1
IU6507,以及環境來速照,1
IU6507,我相信可以持續的學習而是可以突破基礎的,1
IU6507,然後可以發揮更大的潛能,1
JO5132,因為天父顧名思義就是天生生下來所擁有的潛能與能力,2
JO5132,應該是算是一個比較基礎固定的一個量,2
JT3562,我認為透過後天的努力可以改變,2
JT3562,就是自己的天賦,2
JT3562,所以我認為天父是可以改變的,2
JT3562,然後就是,2
JT3562,如果你很喜歡一件事情,2
JT3562,老透過你的努力,2
JT3562,好去做一些研究,2
JT3562,跟你的一些行為的改正,2
JT3562,他就會對一件事情就,2
JT3562,就會有很大的幫助,2
JV6180,我認為智力不能夠改變,3
JV6180,雖然我們可以透過教育,3
JV6180,不是說閱讀不同的科目,3
JV6180,或者是說書本來增加自己本身的知識,3
